0	0.0008372484162261976
1	0.0007987771096279636
2	0.0007647248654646988
3	0.0007356995970485571
4	0.0007085707662574862
5	0.0006790174892244726
6	0.0006441826424772563
7	0.0006029005155994392
8	0.000555239607151727
9	0.0005028472927416704
10	0.00044886265449807814
11	0.00039689858481708925
12	0.0003497359588697357
13	0.00030872429179773877
14	0.00027394749467271807
15	0.0002445919912958296
16	0.00021944500181783665
17	0.00019769153701914029
18	0.00017895446194583556
19	0.00016308126748873248
20	0.00014993374220209182
21	0.00013928478768143404
22	0.0001307958516497033
23	0.00012404786884662183
24	0.00011862574709339855
25	0.00011416794976798012
26	0.00011039323941552717
27	0.00010710912925472402
28	0.00010419827096819518
29	0.00010160881623169663
30	9.933971166473576e-05
31	9.740953813151513e-05
32	9.582539724025025e-05
33	9.456322064942531e-05
34	9.356420570642081e-05
35	9.274777014000511e-05
36	9.202903483809879e-05
37	9.133244655301077e-05
38	9.060280797622671e-05
39	8.98105106494092e-05
40	8.894874129605478e-05
41	8.802873564700218e-05
42	8.707563479365455e-05
43	8.612313053788034e-05
44	8.520853507920223e-05
45	8.43685250485955e-05
46	8.363358413530068e-05
47	8.302276108456278e-05
48	8.254064901312908e-05
49	8.217661700664835e-05
50	8.190771432776826e-05
51	8.170517374809042e-05
52	8.154122269550323e-05
53	8.139414722060795e-05
54	8.125105375899018e-05
55	8.110776239890683e-05
56	8.096691855602426e-05
57	8.08357888515104e-05
58	8.07235619993243e-05
59	8.063824515936832e-05
60	8.058404504480239e-05
61	8.055969979073015e-05
62	8.055841782556552e-05
63	8.056978729214469e-05
64	8.05826176707325e-05
65	8.058760544890712e-05
66	8.057931923073172e-05
67	8.055692956434853e-05
68	8.05235748672549e-05
69	8.048480806642032e-05
70	8.044651987289565e-05
71	8.041306141061911e-05
72	8.038633626161577e-05
73	8.03658862057495e-05
74	8.034965667456963e-05
75	8.03350731163634e-05
76	8.03199391600899e-05
77	8.030297902909242e-05
78	8.028405270058397e-05
79	8.026399346482724e-05
80	8.024420377339548e-05
81	8.022619997157728e-05
82	8.021117139890761e-05
83	8.019968780337617e-05
84	8.019162085882645e-05
85	8.018623508135561e-05
86	8.018245049206016e-05
87	8.017918516975977e-05
88	8.017563840539379e-05
89	8.017146296024395e-05
90	8.016677082511647e-05
91	8.016198843487538e-05
92	8.015765745862148e-05
93	8.015423385177127e-05
94	8.015194661372817e-05
95	8.015075287075888e-05
96	8.015036851142874e-05
97	8.015037152028331e-05
98	8.01503418018689e-05
99	8.014997804645697e-05
100	8.014916459832242e-05
101	8.014796645530164e-05
102	8.014656944580754e-05
103	8.014520306866744e-05
104	8.014406147727661e-05
105	8.014324812965667e-05
106	8.014275773930433e-05
107	8.014249330330942e-05
108	8.01423135692123e-05
109	8.014208571569782e-05
110	8.014172568080515e-05
111	8.014121804027957e-05
112	8.014060766098737e-05
113	8.013997269359228e-05
114	8.0139391082381e-05
115	8.01389143043638e-05
116	8.01385581218866e-05
117	8.013830521449323e-05
118	8.013811654298822e-05
119	8.013794762904898e-05
120	8.013776444170946e-05
121	8.013755480568751e-05
122	8.013732896458385e-05
123	8.013711125154436e-05
124	8.01369285230031e-05
125	8.013679972356757e-05
126	8.013673034066294e-05
127	8.013671126927828e-05
128	8.01367225087619e-05
129	8.013674056268682e-05
130	8.013674622405773e-05
131	8.01367302120665e-05
132	8.013669398105632e-05
133	8.013664648297506e-05
134	8.013659900933007e-05
135	8.013656029231979e-05
136	8.013653385674296e-05
137	8.013651763028407e-05
138	8.013650579402188e-05
139	8.013649176840838e-05
140	8.013647093048514e-05
141	8.013644217315214e-05
142	8.013640773933236e-05
143	8.013637198840006e-05
144	8.013633958411085e-05
145	8.013631384079414e-05
146	8.013629584641852e-05
147	8.013628450127839e-05
148	8.013627739504886e-05
149	8.013627189294149e-05
150	8.013626610918928e-05
151	8.013625943664015e-05
152	8.013625247658777e-05
153	8.013624648589928e-05
154	8.013624259961502e-05
155	8.013624128548341e-05
156	8.013624214655394e-05
157	8.013624411253e-05
158	8.01362458813907e-05
159	8.0136246409999e-05
160	8.013624524876973e-05
161	8.01362425709386e-05
162	8.013623899050395e-05
163	8.013623526198161e-05
164	8.01362320012823e-05
165	8.01362294897693e-05
166	8.013622764039345e-05
167	8.013622612997059e-05
168	8.013622459829095e-05
169	8.01362228223274e-05
170	8.013622079060244e-05
171	8.01362186867298e-05
172	8.013621679660936e-05
173	8.013621538201201e-05
174	8.013621457133765e-05
175	8.013621431738538e-05
176	8.013621443797201e-05
177	8.013621470431956e-05
178	8.013621492663672e-05
179	8.013621500283282e-05
180	8.013621492615505e-05
181	8.013621475795756e-05
182	8.013621458123362e-05
183	8.013621445543864e-05
184	8.013621439248596e-05
185	8.013621436027548e-05
186	8.013621430522288e-05
187	8.01362141817715e-05
188	8.013621397283905e-05
189	8.013621369667897e-05
190	8.01362133951553e-05
191	8.013621311616468e-05
192	8.013621289387242e-05
193	8.013621273886193e-05
194	8.013621263818188e-05
195	8.013621256612535e-05
196	8.01362124994378e-05
197	8.013621242611505e-05
198	8.01362123478076e-05
199	8.013621227513243e-05
200	8.013621222119875e-05
201	8.013621219400978e-05
202	8.013621219331762e-05
203	8.013621221018709e-05
204	8.013621223150346e-05
205	8.013621224531141e-05
206	8.013621224488755e-05
207	8.013621223090915e-05
208	8.013621220892736e-05
209	8.013621218628684e-05
210	8.013621216807145e-05
211	8.013621215604808e-05
212	8.013621214771172e-05
213	8.013621213906388e-05
214	8.013621212704349e-05
215	8.013621211123598e-05
216	8.01362120933113e-05
